species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
0,151.4,sandy,4.49,2.78,1.55,0.37,12.4822,0.5735,1.615107913669065,4.1891891891891895,2.8967741935483877,7.513513513513513,2.9400000000000004,2.41,5.7,19.45,48.01,3.53301570899423,0.7572978278062074,21.764952048823016
0,260.6,clay,5.47,4.1,1.5,0.38,22.427,0.5700000000000001,1.3341463414634147,3.947368421052632,3.6466666666666665,10.789473684210526,3.97,3.72,4.76,19.03,46.34,4.735715363068182,0.754983443527075,39.345614035087706
2,289.8,loamy,5.77,3.29,5.68,1.82,18.9833,10.3376,1.7537993920972643,3.1208791208791204,1.0158450704225352,1.807692307692308,0.0899999999999998,1.47,12.0,11.65,69.55,4.356982901045171,3.2152138342573733,1.8363353196099677
0,89.2,clay,5.33,3.37,1.52,0.24,17.9621,0.3648,1.5816023738872402,6.333333333333334,3.506578947368421,14.041666666666668,3.81,3.13,4.96,17.42,49.64,4.238171775659877,0.60398675482166,49.23821271929824
1,88.7,clay,7.0,3.06,4.86,1.6,21.42,7.776000000000001,2.287581699346405,3.0375,1.4403292181069958,1.9125,2.14,1.46,9.51,15.56,67.76,4.628174586162454,2.7885480092693404,2.7546296296296298
2,248.2,loamy,5.37,3.12,4.73,1.68,16.7544,7.946400000000001,1.721153846153846,2.8154761904761907,1.135306553911205,1.8571428571428568,0.6399999999999997,1.4400000000000002,10.16,10.14,70.12,4.09321389619453,2.818935969475008,2.1084264572636666
2,139.2,clay,7.57,3.25,6.2,2.16,24.6025,13.392,2.329230769230769,2.8703703703703702,1.220967741935484,1.5046296296296295,1.37,1.09,7.93,10.43,71.43,4.960090724976712,3.6595081636744577,1.837104241338112
2,239.6,sandy,6.38,2.24,5.3,1.71,14.291200000000002,9.063,2.8482142857142856,3.0994152046783627,1.2037735849056603,1.3099415204678364,1.08,0.5300000000000002,11.01,6.46,73.9,3.7803703522274112,3.010481689032504,1.576873000110339
0,66.4,loamy,5.51,3.18,1.36,0.42,17.5218,0.5712,1.7327044025157232,3.2380952380952386,4.0514705882352935,7.571428571428572,4.15,2.76,4.33,21.52,48.99,4.185904920085978,0.7557777451076474,30.675420168067223
0,243.7,loamy,5.46,3.58,1.47,0.33,19.5468,0.4851,1.5251396648044693,4.454545454545454,3.7142857142857135,10.848484848484848,3.99,3.25,4.67,19.63,58.12,4.421176314059416,0.696491205974634,40.294372294372295
0,55.5,loamy,5.73,3.52,1.98,0.32,20.169600000000003,0.6336,1.6278409090909092,6.1875,2.893939393939394,11.0,3.75,3.2,4.98,17.1,57.79,4.491057781859414,0.795989949685296,31.833333333333336
1,250.8,sandy,6.28,2.81,4.27,1.07,17.646800000000002,4.5689,2.2348754448398576,3.990654205607476,1.4707259953161596,2.6261682242990654,2.0100000000000007,1.74,8.73,16.66,68.75,4.200809445809225,2.137498538011196,3.8623738755499137
2,87.3,clay,6.1,3.38,5.17,2.81,20.618,14.5277,1.8047337278106508,1.839857651245552,1.1798839458413926,1.202846975088968,0.9299999999999996,0.5699999999999998,12.16,11.3,65.71,4.540704791108975,3.811522005708481,1.4192198352113548
0,250.6,sandy,4.87,3.85,1.5,0.37,18.7495,0.5549999999999999,1.264935064935065,4.054054054054054,3.2466666666666666,10.405405405405403,3.37,3.48,4.67,19.4,59.08,4.330069283510369,0.744983221287567,33.78288288288289
2,224.8,sandy,6.73,2.45,5.8,1.82,16.488500000000002,10.556,2.746938775510204,3.1868131868131866,1.160344827586207,1.3461538461538465,0.9300000000000006,0.6300000000000001,12.21,9.87,71.58,4.060603403436489,3.2489998461064906,1.5620026525198942
2,55.1,clay,6.08,3.33,5.74,2.46,20.2464,14.1204,1.8258258258258255,2.333333333333333,1.059233449477352,1.353658536585366,0.3399999999999998,0.8700000000000001,10.78,13.03,79.34,4.499599982220642,3.7577120698637887,1.4338404011217811
1,177.9,clay,5.85,3.48,4.7,1.34,20.358,6.298000000000001,1.6810344827586206,3.5074626865671643,1.2446808510638296,2.5970149253731343,1.1499999999999997,2.14,8.25,17.54,60.16,4.511984042524973,2.5095816384409577,3.2324547475389003
1,209.0,clay,5.85,2.86,4.07,1.46,16.730999999999998,5.942200000000001,2.0454545454545454,2.7876712328767126,1.437346437346437,1.9589041095890407,1.7799999999999994,1.4,8.47,15.56,74.06,4.090354507863591,2.4376628150751287,2.8156238430211027
1,175.8,clay,5.67,2.9,3.9,1.52,16.442999999999998,5.928,1.9551724137931037,2.5657894736842106,1.4538461538461538,1.907894736842105,1.77,1.38,7.18,13.84,66.34,4.054996917384772,2.434748446965312,2.7737854251012144
2,241.6,sandy,6.72,2.92,5.47,1.91,19.6224,10.4477,2.3013698630136985,2.863874345549738,1.2285191956124315,1.5287958115183249,1.25,1.01,10.96,11.03,64.08,4.429717823970281,3.232290209742931,1.8781550006221464
1,108.3,clay,5.58,3.31,5.4,1.67,18.4698,9.018,1.6858006042296072,3.2335329341317367,1.0333333333333332,1.9820359281437128,0.1799999999999997,1.64,8.24,12.46,56.49,4.297650520924194,3.002998501498128,2.0481037924151693
2,74.2,clay,6.99,2.99,4.81,2.99,20.9001,14.3819,2.337792642140468,1.6086956521739129,1.4532224532224534,1.0,2.1800000000000006,0.0,16.74,7.75,53.21,4.571662717217883,3.7923475579118535,1.4532224532224534
0,68.3,loamy,5.7,2.78,1.73,0.08,15.846,0.1384,2.050359712230216,21.625,3.294797687861272,34.75,3.97,2.7,4.83,19.87,53.78,3.9807034554209135,0.3720215047547655,114.4942196531792
2,82.2,sandy,6.53,2.53,7.05,1.59,16.5209,11.2095,2.58102766798419,4.433962264150943,0.926241134751773,1.591194968553459,-0.5199999999999996,0.9399999999999996,13.58,10.08,66.05,4.064591000334474,3.3480591392626264,1.473830233284268
0,197.7,sandy,5.3,2.7,1.29,0.13,14.31,0.1677,1.9629629629629628,9.923076923076923,4.108527131782946,20.76923076923077,4.01,2.5700000000000003,4.82,16.0,47.84,3.782856063875548,0.4095119045888654,85.33094812164579
0,195.5,sandy,4.86,2.8,1.38,0.38,13.608,0.5244,1.735714285714286,3.631578947368421,3.521739130434783,7.368421052631579,3.4800000000000004,2.42,5.21,23.15,50.09,3.688902275745456,0.7241546796092669,25.949656750572085
0,249.4,loamy,5.35,2.62,1.04,0.44,14.017,0.4576,2.041984732824427,2.363636363636364,5.144230769230768,5.954545454545455,4.31,2.18,5.46,21.96,53.71,3.743928418119129,0.6764613810115105,30.631555944055943
1,129.1,clay,6.31,3.47,4.38,1.53,21.8957,6.7014,1.8184438040345816,2.862745098039216,1.4406392694063923,2.2679738562091503,1.93,1.94,7.65,14.05,61.57,4.6792841332836375,2.588706240576555,3.2673321992419497
2,274.1,loamy,5.98,3.53,5.28,2.05,21.1094,10.824,1.6940509915014166,2.575609756097561,1.1325757575757576,1.721951219512195,0.7000000000000002,1.48,10.38,11.02,83.95,4.59449670801928,3.2899848023965097,1.950240206947524
1,94.9,sandy,6.76,2.27,4.45,0.96,15.3452,4.272,2.9779735682819384,4.635416666666667,1.5191011235955054,2.364583333333333,2.31,1.31,8.04,15.86,58.53,3.9172949850630343,2.0668817092422103,3.5920411985018723
1,148.2,loamy,5.88,2.63,5.08,1.5,15.4644,7.62,2.23574144486692,3.3866666666666667,1.15748031496063,1.7533333333333332,0.7999999999999998,1.13,10.02,13.8,52.7,3.932480133452679,2.760434748368452,2.0294488188976376
2,286.9,clay,5.64,3.03,5.7,2.13,17.089199999999998,12.141,1.8613861386138613,2.676056338028169,0.9894736842105264,1.4225352112676055,-0.0600000000000005,0.8999999999999999,10.71,10.26,63.99,4.133908562123744,3.484393777976307,1.407561156412157
